site,BIODICAPT_ID,conduite,culture,LON,LAT,network,geometry,temperature,land_cover,theta,presence_absence,observation
ABSYS,BDC_VSF_P01,AB,vigne,3.79066332592101,43.6123397621344,MONTPELLIER,3.79066332592101|43.6123397621344,10.4487552642822,Agro-natural fields,0.436292237183313,0,Species not observed
ABSYS,BDC_VSF_P02,AB,vigne,3.8736196862758,43.7192264896758,MONTPELLIER,3.8736196862758|43.7192264896758,10.3069400787354,Agro-natural fields,0.275818381063354,1,Species observed
ABSYS,BDC_VSF_P03,AB,vigne,3.51255760836656,43.5784113138827,MONTPELLIER,3.51255760836656|43.5784113138827,10.5544986724854,Agro-natural fields,0.567704919107126,1,Species observed
ABSYS,BDC_VSF_P04,AB,vigne,3.58626090657399,43.5673717317173,MONTPELLIER,3.58626090657399|43.5673717317173,10.5544986724854,Agro-natural fields,0.567704919107126,0,Species not observed
ABSYS,BDC_VSF_P05,AB,vigne,3.98895771062642,43.7909032910608,MONTPELLIER,3.98895771062642|43.7909032910608,10.2876224517822,Agro-natural fields,0.256948870226777,0,Species not observed
ABSYS,BDC_VSF_P06,AB,vigne,3.96292095252878,43.8136934968018,MONTPELLIER,3.96292095252878|43.8136934968018,9.8115177154541,Agro-natural fields,0.0309959745667035,0,Species not observed
CEFE,BDC_VSF_P07,AB,vigne,3.58174539510739,43.7087070332155,MONTPELLIER,3.58174539510739|43.7087070332155,8.75176429748535,Agro-natural fields,0.000159839820642742,0,Species not observed
CEFE,BDC_VSF_P08,AB,vigne,3.63628777443452,43.7003947128235,MONTPELLIER,3.63628777443452|43.7003947128235,9.4077091217041,Agro-natural fields,0.00422941002032038,0,Species not observed
CEFE,BDC_VSF_P09,CONVENTIONNELLE,vigne,3.87763291818334,43.7524569055046,MONTPELLIER,3.87763291818334|43.7524569055046,10.3069400787354,Agro-natural fields,0.275818381063354,0,Species not observed
CEFE,BDC_VSF_P10,AB,vigne,4.01262235256094,43.6821514530007,MONTPELLIER,4.01262235256094|43.6821514530007,11.0830631256104,Agro-natural fields,0.948598370826574,1,Species observed
CEFE,BDC_VSF_P11,AB,vigne,3.98833487401001,43.8586895566435,MONTPELLIER,3.98833487401001|43.8586895566435,10.2876224517822,Agro-natural fields,0.256948870226777,0,Species not observed
CEFE,BDC_VSF_P12,CONVENTIONNELLE,vigne,3.95412943726849,43.7665611863085,MONTPELLIER,3.95412943726849|43.7665611863085,10.3069400787354,Agro-natural fields,0.275818381063354,1,Species observed
CEFE,BDC_VSF_P13,CONVENTIONNELLE,vigne,4.09490119165675,43.7637729332196,MONTPELLIER,4.09490119165675|43.7637729332196,10.6536808013916,Agro-natural fields,0.683175547313304,1,Species observed
CEFE,BDC_VSF_P14,CONVENTIONNELLE,vigne,4.04817345444938,43.8856694010916,MONTPELLIER,4.04817345444938|43.8856694010916,9.89913368225098,Agro-natural fields,0.0472305696383237,0,Species not observed
CEFE,BDC_VSF_P15,CONVENTIONNELLE,vigne,3.90895149732337,43.8936234083583,MONTPELLIER,3.90895149732337|43.8936234083583,9.48012733459473,Agro-natural fields,0.00606363743021771,0,Species not observed
CEFE,BDC_VSF_P16,CONVENTIONNELLE,vigne,4.12137103619482,43.8102217714606,MONTPELLIER,4.12137103619482|43.8102217714606,10.2400455474854,Agro-natural fields,0.214203347288397,1,Species observed
CEFE,BDC_VSF_P17,AB,vigne,4.07418722577649,43.8670333477314,MONTPELLIER,4.07418722577649|43.8670333477314,10.2876224517822,Agro-natural fields,0.256948870226777,0,Species not observed
CEFE,BDC_VSF_P18,CONVENTIONNELLE,vigne,3.91728617060767,43.7001613957002,MONTPELLIER,3.91728617060767|43.7001613957002,10.3069400787354,Agro-natural fields,0.275818381063354,1,Species observed
CEFE,BDC_VSF_P19,CONVENTIONNELLE,vigne,3.92727453288584,43.88331112632,MONTPELLIER,3.92727453288584|43.88331112632,9.48012733459473,Agro-natural fields,0.00606363743021771,0,Species not observed
CEFE,BDC_VSF_P20,CONVENTIONNELLE,vigne,3.95070671559905,43.7635009725508,MONTPELLIER,3.95070671559905|43.7635009725508,10.3069400787354,Agro-natural fields,0.275818381063354,0,Species not observed
CEFE,BDC_VSF_P21,CONVENTIONNELLE,vigne,3.48677342447134,43.508340801889,MONTPELLIER,3.48677342447134|43.508340801889,10.9157962799072,Agro-natural fields,0.888843434618265,1,Species observed
CEFE,BDC_VSF_P22,CONVENTIONNELLE,vigne,3.58540990407993,43.5425010228974,MONTPELLIER,3.58540990407993|43.5425010228974,10.5544986724854,Agro-natural fields,0.567704919107126,0,Species not observed
ABSYS,BDC_VSF_P23,AB,vigne,3.38542958054756,43.5633034337176,MONTPELLIER,3.38542958054756|43.5633034337176,10.3053531646729,Agro-natural fields,0.274236331770916,0,Species not observed
CEFE,BDC_VSF_P24,AB,vigne,3.72166364234226,43.5975340299994,MONTPELLIER,3.72166364234226|43.5975340299994,10.9461002349854,Agro-natural fields,0.902955284358109,1,Species observed
CEFE,BDC_VSF_P25,CONVENTIONNELLE,vigne,3.79722823517206,43.626789935363,MONTPELLIER,3.79722823517206|43.626789935363,10.4487552642822,Agro-natural fields,0.436292237183313,0,Species not observed
LISAH,BDC_VSF_P26,CONVENTIONNELLE,vigne,3.27103759570432,43.4686540273951,MONTPELLIER,3.27103759570432|43.4686540273951,10.4657535552979,Agro-natural fields,0.457296234391063,0,Species not observed
LISAH,BDC_VSF_P27,CONVENTIONNELLE,vigne,3.36395674325516,43.4239465355868,MONTPELLIER,3.36395674325516|43.4239465355868,10.8297061920166,Agro-natural fields,0.838692406625145,1,Species observed
LISAH,BDC_VSF_P28,CONVENTIONNELLE,vigne,3.37762734594593,43.4751868204189,MONTPELLIER,3.37762734594593|43.4751868204189,10.8297061920166,Agro-natural fields,0.838692406625145,1,Species observed
"","",CONVENTIONNELLE,grande_culture,1.23061779067872,48.2816721572294,SCARABEE,1.23061779067872|48.2816721572294,7.20552968978882,Extensive fields,0.0053656825909304,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.43826277302363,48.2766176876325,SCARABEE,1.43826277302363|48.2766176876325,7.39180898666382,Extensive fields,0.0135069079726934,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.12213037750632,48.4214324761385,SCARABEE,1.12213037750632|48.4214324761385,6.96184682846069,Extensive fields,0.00159264396731042,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.18988249964783,48.3600452690172,SCARABEE,1.18988249964783|48.3600452690172,7.05007314682007,Extensive fields,0.00247352540735738,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.3499278342194,48.3489781067168,SCARABEE,1.3499278342194|48.3489781067168,7.19783926010132,Extensive fields,0.00516432225936888,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.69067384669038,48.637249186989,SCARABEE,1.69067384669038|48.637249186989,7.14501333236694,Extensive fields,0.00397030822408897,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.74360421275396,48.5100590921164,SCARABEE,1.74360421275396|48.5100590921164,7.20101308822632,Extensive fields,0.00524649593592677,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.50754390913461,48.4942534191196,SCARABEE,1.50754390913461|48.4942534191196,7.10228872299194,Extensive fields,0.00320908115828059,0,Species not observed
"","",AB,grande_culture,1.43361954346491,48.8017210033797,SCARABEE,1.43361954346491|48.8017210033797,7.21044301986694,Extensive fields,0.00549839817172316,0,Species not observed
"","",AB,grande_culture,1.53157080894936,48.8292041959792,SCARABEE,1.53157080894936|48.8292041959792,7.19228506088257,Extensive fields,0.00502358757675961,0,Species not observed
"","",AB,grande_culture,1.42902573104745,48.7686399819484,SCARABEE,1.42902573104745|48.7686399819484,7.21044301986694,Extensive fields,0.00549839817172316,0,Species not observed
"","",AB,grande_culture,1.50152643049745,48.7361389513327,SCARABEE,1.50152643049745|48.7361389513327,7.23000478744507,Extensive fields,0.00605994566911913,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.40605419790971,48.8188414539155,SCARABEE,1.40605419790971|48.8188414539155,7.21044301986694,Extensive fields,0.00549839817172316,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.99172891023222,48.4745486832897,SCARABEE,1.99172891023222|48.4745486832897,7.23046255111694,Extensive fields,0.00607374732917131,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,2.09453983979961,48.4637557193051,SCARABEE,2.09453983979961|48.4637557193051,7.35979604721069,Extensive fields,0.0115321222673971,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,2.10512427124218,48.683060926134,SCARABEE,2.10512427124218|48.683060926134,7.13814687728882,Extensive fields,0.0038368259908992,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.55270549309446,48.9369430612827,SCARABEE,1.55270549309446|48.9369430612827,7.17302846908569,Extensive fields,0.00456456223159245,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,1.58191547741323,48.9945930347891,SCARABEE,1.58191547741323|48.9945930347891,7.17302846908569,Extensive fields,0.00456456223159245,0,Species not observed
"","",AB,grande_culture,2.00318147905765,48.8651287277673,SCARABEE,2.00318147905765|48.8651287277673,7.15902090072632,Extensive fields,0.00425712296714845,0,Species not observed
"","",CONVENTIONNELLE,grande_culture,2.0470399627431,48.8282322610002,SCARABEE,2.0470399627431|48.8282322610002,7.25740957260132,Extensive fields,0.00694370309374898,0,Species not observed
"",BVD_1,CONVENTIONNELLE,verger,4.97177321689187,43.8129139966056,DYNAFOR,4.97177321689187|43.8129139966056,10.5519962310791,Agro-natural fields,0.564631659376199,1,Species observed
